Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme
40,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,"Oct 4, 2021 to Dec 20, 2021",12,23 min. per ep.,8.74,Light novel,"Drama,Fantasy,Ecchi","Isekai,Reincarnation",Funimation,"Frontier Works,Hakuhodo DY Music & Pictures,BS11,Egg Firm,GREE Entertainment",R ,Finished Airing,Studio Bind,"595,948",276.0,3,2
41,Odd Taxi,TV,"Apr 6, 2021 to Jun 29, 2021",13,23 min. per ep.,8.74,Original,Mystery,Anthropomorphic,add some,"TV Tokyo,Dentsu,Pony Canyon,Crunchyroll,Pony Canyon Enterprise,Crunchyroll SC Anime Fund,Yoshimoto Kogyo",PG,Finished Airing,OLM,"310,663",299.0,1,1
42,Hajime no Ippo,TV,"Oct 4, 2000 to Mar 27, 2002",75,23 min. per ep.,8.74,Manga,Sports,Combat Sports,Discotek Media,VAP,PG,Finished Airing,Madhouse,"483,267",1725.0,1,1
43,Vinland Saga,TV,"Jul 8, 2019 to Dec 30, 2019",24,24 min. per ep.,8.73,Manga,"Action,Adventure,Drama",Historical,Sentai Filmworks,"Production I.G,Dentsu,Kodansha,Twin Engine",R ,Finished Airing,Wit Studio,"1,102,705",576.0,3,1
44,Mushishi Zoku Shou,TV,"Apr 5, 2014 to Jun 21, 2014",10,24 min. per ep.,8.71,Manga,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural","Adult Cast,Historical,Iyashikei",Aniplex of America,"Aniplex,Kodansha,Delfi Sound",PG,Finished Airing,Artland,"270,081",240.0,5,3
45,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,"Feb 20, 1999 to Sep 22, 1999",4,30 min. per ep.,8.71,Manga,"Action,Drama,Romance","Adult Cast,Historical,Martial Arts,Samurai",ADV Films,Aniplex,R ,Finished Airing,Studio Deen,"257,636",120.0,3,4
46,86 Part 2,TV,"Oct 3, 2021 to Mar 19, 2022",12,23 min. per ep.,8.71,Light novel,"Action,Drama,Sci-Fi","Mecha,Military",add some,"Aniplex,Kadokawa,Bandai Spirits",R ,Finished Airing,A-1 Pictures,"311,054",276.0,3,2
47,Ashita no Joe 2,TV,"Oct 13, 1980 to Aug 31, 1981",47,24 min. per ep.,8.71,Manga,"Action,Drama,Slice of Life,Sports",Combat Sports,add some,Annapuru,PG,Finished Airing,Tokyo Movie Shinsha,"41,893",1128.0,4,1
48,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,15-Aug-20,1,2 hr. 2 min.,8.71,Visual novel,"Action,Fantasy,Supernatural",None,Aniplex of America,"Aniplex,Notes,Kadokawa",R ,Finished Airing,ufotable,"275,327",122.0,3,0
49,Code Geass: Hangyaku no Lelouch,TV,"Oct 6, 2006 to Jul 29, 2007",25,24 min. per ep.,8.7,Original,"Action,Drama,Sci-Fi","Mecha,Military,School,Super Power",Funimation,"Bandai Visual,Mainichi Broadcasting System,Bandai,Sony Music Entertainment,Bandai Namco Entertainment,Hakuhodo DY Media Partners",R ,Finished Airing,Sunrise,"1,993,444",600.0,3,4
50,Great Teacher Onizuka,TV,"Jun 30, 1999 to Sep 17, 2000",43,25 min. per ep.,8.69,Manga,"Comedy,Drama","Delinquents,School,Workplace",Discotek Media,"Aniplex,Fuji TV",R ,Finished Airing,Pierrot,"726,724",1075.0,2,3
51,Mo Dao Zu Shi: Wanjie Pian,ONA,"Aug 7, 2021 to Oct 16, 2021",12,24 min. per ep.,8.69,Web novel,"Action,Drama,Supernatural","Historical,Mythology",add some,Tencent Penguin Pictures,R ,Finished Airing,B.CMAY PICTURES,"56,914",288.0,3,2
52,Mononoke Hime,Movie,12-Jul-97,1,2 hr. 13 min.,8.68,Original,"Action,Adventure,Fantasy",None,GKIDS,"Tokuma Shoten,Nippon Television Network",PG,Finished Airing,Studio Ghibli,"1,098,194",133.0,3,0
53,Jujutsu Kaisen (TV),TV,"Oct 3, 2020 to Mar 27, 2021",24,23 min. per ep.,8.68,Manga,"Action,Fantasy",School,add some,"Mainichi Broadcasting System,TOHO animation,Shueisha,dugout,Sumzap",R ,Finished Airing,MAPPA,"1,874,278",552.0,2,1
54,Made in Abyss,TV,"Jul 7, 2017 to Sep 29, 2017",13,25 min. per ep.,8.68,Web manga,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",None,Sentai Filmworks,"Media Factory,AT-X,Takeshobo,Sony Music Communications,Kadokawa Media House,Cygames,Kanetsu Investment,Kadokawa,Global Solutions,IRMA LA DOUCE",R ,Finished Airing,Kinema Citrus,"1,138,004",325.0,5,0
55,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,17-Jan-20,1,1 hr. 45 min.,8.68,Web manga,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",None,Sentai Filmworks,IRMA LA DOUCE,R ,Finished Airing,Kinema Citrus,"327,225",105.0,5,0
